Common name,Binomial name,Population,Status,Trend,Notes,Image
*Saola*,*Pseudoryx nghetinhensis*,*< 750*[1],CR[1],[1],"No individuals in captivity. Probably below the minimum viable population. 
The IUCN presumes extinction in the near future.[1]",
*Pygmy hog*,*Porcula salvania*,*250*[2],CR[2],[2],Maximum estimate for mature individuals.[2],
*Rhim gazelle*,*Gazella leptoceros*,*250*[3],EN[3],[3],Estimate is for mature individuals only.[3],
*Bawean deer*,*Axis kuhlii*,*250 – 300*[4],CR[4],[4],Estimates are for the wild population only; may reach as high as 500.[4],
*Addax*,*Addax nasomaculatus*,*300*[5],CR[5],[5],Maximum estimate for the wild.[5],
*Tamaraw*,*Bubalus mindorensis*,*300*[6],CR[6],[6],,
*Togian babirusa*,*Babyrousa togeanensis*,*500*[7],EN[7],[7],Maximum estimate.[7],
*Walia ibex*,*Capra walie*,*500*[8],EN[8],[8],,
*Dama gazelle*,*Nanger dama*,*500*[9],CR[9],[9],Maximum estimate.[9],
*Hirola*,*Beatragus hunteri*,*500 – 2000*[10],CR[10],[10],May be much lower.[10],
*Anhui musk deer*,*Moschus anhuiensis*,*700 – 800*[11],EN[11],[11],Most recent estimate was in 1998.[11],
*Przewalski's gazelle*,*Procapra przewalskii*,*700 – 800*[12],EN[12],[12],Could be underestimated.[12],
*Persian fallow deer*,*Dama mesopotamica*,*715*[13],EN[13],[13],Previously thought to be extinct.[13],
*Wild Bactrian camel*,*Camelus ferus*,*950*[14],CR[14],[14],Wild population only.[14],
*South Andean deer*,*Hippocamelus bisulcus*,*1048 – 1500*[15],EN[15],[15],,
*Calamian deer*,*Axis calamianensis*,*1123*[16],EN[16],[16],1994 estimate; has almost certainly decreased.[16],
*Abbott's duiker*,*Cephalophus spadix*,*1500*[17],EN[17],[17],Maximum estimate.[17],
*Cuvier's gazelle*,*Gazella cuvieri*,*1750 – 2950*[18],EN[18],unknown[18],,
*Nilgiri tahr*,*Nilgiritragus hylocrius*,*1800 – 2000*[19],EN[19],[19],,
*Pygmy hippopotamus*,*Choeropsis liberiensis*,*2000 – 3000*[20],EN[20],[20],Estimate is from 1993; numbers have probably shrunk.[20],
*Mountain anoa*,*Bubalus quarlesi*,*2500*[21],EN[21],[21],Maximum estimate.[21],
*Visayan spotted deer*,*Rusa alfredi*,*2500*[22],EN[22],[22],Maximum estimate.[22],
*Markhor*,*Capra falconeri*,*2500*[23],EN[23],[23],Maximum estimate.[23],
*Mountain Nyala*,*Tragelaphus buxtoni*,*2500 – 4000*[24],EN[24],[24],"2500 is a maximum estimate from 1999, but recent work has shown numbers may 
be as high as 4000.[24]",
*European bison*,*Bison bonasus*,*3200*[25],VU[25],[25],"Includes 1400 domestic animals and 1800 wild. Domestic numbers are likely 
underestimated.[25]",
*Chacoan peccary*,*Catagonus wagneri*,*3200*[26],EN[26],[26],"Estimate was made in 2002; wide-scale deforestation of their habitat began 
in 2003.[26]",
*Wild water buffalo*,*Bubalus arnee*,*3 400*[27],EN,,,
*Jentink's duiker*,*Cephalophus jentinki*,*3500*[28],EN[28],[28],Maximum estimate; may be less than 2000.[28],
*Barasingha*,*Rucervus duvaucelii*,*3500 – 5100*[29],VU[29],[29],,
*Nile lechwe*,*Kobus megaceros*,*4291*[30],EN[30],[30],,
*Small red brocket*,*Mazama bororo*,*4500*[31],VU[31],[31],Maximum estimate.[31],
*Arabian tahr*,*Arabitragus jayakari*,*5000*[32],EN[32],[32],Maximum estimate.[32],
*West Caucasian tur*,*Capra caucasica*,*5000 – 6000*[33],EN[33],[33],,
*Barbary sheep*,*Ammotragus lervia*,*5000 – 10 000*[34],LC[34],[34],,
*Beira*,*Dorcatragus megalotis*,*7000*[35],VU[35],[35],,
*Arabian Oryx*,*Oryx leucoryx*,*7000 – 8000*[36],VU[36],[36],6000 – 7000 in captivity and ~1000 in the wild.[36],
*Hairy-fronted muntjac*,*Muntiacus crinifrons*,*7000 – 8500*[37],VU[37],[37],Most recent estimate was in 1998.[37],
*Banteng*,*Bos javanicus*,*8000*[38],EN[38],[38],"Maximum estimate; may be fewer than 5000. Numbers do not include the 
non-purebred domestic variety.[38]",
*Nubian ibex*,*Capra nubiana*,*10 000*[39],VU[39],[39],Maximum estimate.[39],
*Southern pudú*,*Pudu puda*,*10 000*[40],VU[40],[40],Maximum estimate.[40],
*Red goral*,*Naemorhedus baileyi*,*10 000*[41],VU[41],[41],Maximum estimate for mature individuals.[41],
*Four-horned antelope*,*Tetracerus quadricornis*,*10 000*[42],LC[42],[42],,
*Javan rusa*,*Rusa timorensis*,*10 000*[43],VU[43],[43],Maximum estimate for mature individuals.[22],
*Taruca*,*Hippocamelus antisensis*,*12 000 – 17 000*[44],VU[44],[44],,
*Gaur*,*Bos gaurus*,*13 000 – 30 000*[45],VU[45],[45],,
*Soemmerring's gazelle*,*Nanger soemmerringii*,*14 000*[46],VU[46],[46],,
*Mountain gazelle*,*Gazella gazella*,*15 000*[47],VU[47],[47],Maximum estimate.[47],
*Wild yak*,*Bos mutus*,*15 000*[48],VU[48],[48],Estimate is from 1995.[48],
*Giant eland*,*Tragelaphus derbianus*,*15 000 – 20 000*[49],LC[49],[49],,
*Black wildebeest*,*Connochaetes gnou*,*18 000*[50],LC[50],[50],Minimum estimate (11 000 wild and 7000 domesticated).[50],
*Grey rhebok*,*Pelea capreolus*,*18 000*[51],LC[51],[51],,
*Harvey's duiker*,*Cephalophus harveyi*,*20 000*[52],LC[52],[52],Numbers may be overestimated.[52],
